688,220,395,892,122,531
1097,616
110
201,5
915,159
984
664
121,234
576

666,753
614
81,97
934,238
750,659,655
733,645,431
169,399,710
772,774,519
983
416
625,789
544,488,961,405

381,848,168,221
411,294
210,1041,209
798,670,409,687
706
919
354,578,140
812,223,483
228
607,564,834
353,970,403
240,235,259

88,837,981,401
211,719,913
996,124
958
320,203,175
523,962
665,251,577,462,438,344,911,426,277,458
316
602,83,154
415,686,184
349,128,1059,116,742,132,807,518,644,336,484
71,982,21
1094,145
524,100,660
66,351,720

229,846,1000
677,674,756
33,535
389
931
178,826,359
343,1009,819
649,945
991,1024
491,541
528,663,850
918,192
239,422
624,28
723,367
865,319
165
459
969,926,810
764,1051,685
44,279,370,949,308,716
521
873
368,888,503
335,615,213
650,805,467
53,632
1015,1003,734
977,441
878,1056
590,707,1061
134,767,902,587,731,93
884,158
647,549,500,565
502,582,1044
24,94,787
245,464
849,990
193,558,749
978,497,776,553
596,957,112
408,693
141
904,366
610,555,1073,965
605,470,246
461
301,591,338,680
1007,202,796,566
785
730,921,724,288,937,182,713
98,631
447,1022,896

376,738,111
87,857,794,611
135,340,955,68
909,595,40
933,654,1032,944
453,313,701
989,171,656
397,509,289,144
673,1021
191
791,609,330
1036,1082,1042,520,948
172,56,1031
26,35,501,1005,1095
302,345,642,254,125
37,698,923,1023,548,406
880,444,963,822,876
465
198,170,943
174,782
759,15
1049,237
547,780,32,1077
272,205,1087,813
973,757
939,515,821,620
280,743,914
385,697
152,473,648,505,832,48,1043,640
717,968,556,684,264,34
661,972
331,583,274,781,138,1039,496,423,598,358,627
493,936,262
775,771,748
604
1048,1004,603
196,893,249
180,552,584
10,729,560
522,393
1008,108
450,62
941,30,1098,1016
721,43,420,898
284,669,818
347,592
737,947,1067,243,120,960
130,469,1084
153,267,1017
224,363,507
702,639
322,232,752,82
92,334,714
164,61,1058
327,217,768
188,722,1081
67,194,392
350,777,691,718
658,1070,935
300,299,979,510
315,355
357,1002
494,1020,448
414,286
466,1062,1034
800,428,148
212,681,1025,104
199,622
843
755,276,827
113,845,1040,365
382,166,652,856
568,678,828,563,90

980,855,312
894,797,268
60,298,187
471,870,1091,173
1086,20,844
27,600,64,823
626,907,901
886,39,379
38,225,952,638,877,151,179,682
817,295,456,45,14
635

838,360,478,233,938,419
795,425,562,4
73,550,445,835,342,404
76,1010
446,396,866
3
971,2,23,1050
630,617


770,364,1064,974
1090,690,432,283,86,708
255,922,641,222,867,373,307
636,226,278,215,683
1006,831
927,293,41,950
123,567,511
107,712,917
761,369,579,271
895,946,679,89,287,468,418,270
269,13,114,651,258,410,786,889,341,966,621
377,486,118
809,629,102
498,735
1047,727
533,928,129,91
694,321,667

8,976,854,440,266,588,1065
372,543,1052,323
1035,739,863
545,646,181,769,954,1028,994,1012,439
765,490,74,1063
851,1046,482,400,337,109,127
339,326,430,885
932,704,29,183,513,79
557,653,1033,241,495,1092,1072
230,6,435,449
788,820,964,136,139,900
940,930
824,985,186,333
318,49
1075,1089,383,1096
162,526,992,242,421,386,783,489
525,1038,0,1078,303,388,929,537,852
1011,157,282
760,514,176,668,163,317,306,150
561,906,253,1076,586,580,559,585,924,305,18,472
479,758,275,1080,840,214,799
200,204,487,436,539,96,1013
206,31,711
227,860
378,126
672
19,778,374,474,69,443,143,281,149,762
433,633,263,394,273,881,594,77,975,454
261,628
741,959,816,1093,197,477,705,891
290
879,1057,612,745

407,751,328,920
291,715,747,384,1099,95,442
703,11,46
657,517,790,375
951,634,643,390,1068,1,292,1088,671
460,988,529,864
1083,858,839
311,17,744,569,346
452,42,402,80,841
58,22,859,779,190,356,55,574,101,260,793,481,119
700,593,967,897
916,836,117
806,692
993,1037,25
72,352,551
766,324,304,412,925,84,571
662,689,987,986,424,492,167
380,882
530,506,875
348,830,485,208,1085,142,808,156,455,437,285,874
1018,70,999,52,9
256,695,85,833,361
736,804,504,1079,872,538
676,16,887,871,457
1030,516,252,861,78,57,189,608,218,942

99,236,51,508,417
606,1001,572,216,480
512,297
792,161,675,956,699,1074,763,890,75,427,314,540,147,554,573
899,195
910,47,309,728,814
387,1029,709,847
1071,499,1060,740
746,146,1019,296,12
905,597
1014,463,883,801,1055,63,451,325,207,619
244,542,1026,637
601,754,362,773
250,36,842,998,391,570,825,908,997,310
613,160,103
265,581,903,803
7,815
696,247
59,1054,802,476,546,1066
257,137,1069,332
1027
115,534,726,475,371
434,54,599
50,623,829,398
784
65,811,248,912,177
185
527,106,219,231
532,618,575,953,155,725,536,131,133,732,1045
413,589,105,329,1053,862,869,868
995,429,853
