depositos,vendedores,distancia_total, tiempo
5,100,1560,1813820.0
5,200,2825,3009320.0
10,100,1358,2775780.0
10,200,2623,5849940.0
20,100,1158,5338490.0
20,200,2340,28977700.0
5,100,3676,4210370.0
5,200,6715,8566750.0
10,100,1475,3348050.0
10,200,5607,5668190.0
20,100,1164,40491200.0
20,200,2604,78345400.0
5,100,61359,4680330.0
5,200,184917,8993440.0
10,100,97880,21051900.0
10,200,262676,15733500.0
10,400,578395,25247900.0
15,900,999999,35198700.0
20,100,63013,6499130.0
20,1600,999999,160159000.0
20,200,285908,10871600.0
20,400,690579,50028600.0
30,900,999999,71545800.0
40,1600,999999,320226000.0
40,400,707351,51099600.0
60,900,999999,197038000.0
80,1600,999999,379682000.0
