depositos,vendedores,distancia_total, tiempo
5,100,1636,432933.0
5,200,2830,777414.0
10,100,1359,735979.0
10,200,2630,1359970.0
20,100,1151,1268710.0
20,200,2341,6343650.0
5,100,3586,1072260.0
5,200,7296,1919710.0
10,100,1516,1942850.0
10,200,6082,1167480.0
20,100,1168,5255240.0
20,200,2819,18308200.0
5,100,72216,1361560.0
5,200,192767,2296110.0
10,100,101896,4546250.0
10,200,273098,3725530.0
10,400,585350,6503460.0
15,900,999999,8028080.0
20,100,78714,3590890.0
20,1600,999999,20845600.0
20,200,301436,2242050.0
20,400,696083,4399840.0
30,900,999999,16208700.0
40,1600,999999,36701800.0
40,400,713310,9059230.0
60,900,999999,51010500.0
80,1600,999999,170620000.0
